State,St_Code,Year,NDVI,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_NDVI,Log_Rainfall_June,Log_Rainfall_May,Log_Temp_June,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
Chhattisgarh,3,2008,0.439174107,0,0,0,377.1009246,30,5.401012627,30,63.40370735,39,12.62764805,36,300.7281707,306.1697297,301.221251,297.1799563,-1,-0.822859345,5.932512856,1.68658646,5.706206769,5.72413962,6898211,1314267,NA,NA,3928.83,3928.83
Chhattisgarh,3,2009,0.5001717,0,1,0,85.11213182,30,14.65975333,31,8.75320865,40,40.40175322,32,305.5134357,306.4762252,302.678928,296.9387983,0,-0.69280384,4.443969585,2.68510587,5.721993757,5.725140184,NA,NA,NA,NA,3837.6,3837.6
Chhattisgarh,3,2010,0.468501932,0,1,0,158.2169176,30,35.04156658,31,3.700419941,40,109.3158901,41,304.2262057,306.3216419,304.723301,297.2733259,1,-0.758215054,5.063966987,3.556534973,5.717771522,5.724635667,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2011,0.452505293,0,1,0,287.333588,30,10.76794449,31,21.34907661,41,2.860143799,26,301.61463,305.7712229,301.811208,297.0645661,2,-0.792955819,5.660643868,2.376573618,5.709150143,5.722837185,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2012,0.4147102,0,1,0,177.9675207,30,6.99445381,31,10.41260127,41,69.09511011,30,304.360279,307.0046277,302.3838629,295.9505234,3,-0.880175316,5.181601066,1.945117522,5.718212128,5.726862822,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2013,0.472532697,0,1,0,387.6676028,30,3.277280526,30,30.62064316,40,138.1400693,36,301.1229413,307.3391894,302.4291271,295.777592,4,-0.749648334,5.960148279,1.187013971,5.707518624,5.727951989,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2014,0.452585795,0,1,0,117.8897602,30,49.14806591,30,12.46877574,38,104.0409506,36,304.2907653,304.8871065,302.0838059,296.6372429,5,-0.792777932,4.769749952,3.894837495,5.717983709,5.719941565,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2015,0.445890498,0,1,0,317.6690895,30,25.81753365,30,37.10289047,40,19.99545063,41,302.2823233,306.2820129,301.0802361,297.9679495,6,-0.807681877,5.761010242,3.25105386,5.711361426,5.724506288,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2016,0.444446013,0,1,0,204.4860182,30,23.72431861,31,21.14665222,36,2.430854876,24,303.87067,305.8644584,303.5214154,296.5547607,7,-0.810926687,5.320499602,3.166500624,5.716602183,5.723142057,NA,NA,NA,NA,NA,NA
Gujarat,4,2002,0.237587058,0,0,0,147.9884424,30,2.153366141,30,2.276634957,39,1.003332533,31,304.342607,305.4138832,302.215892,300.5901529,-7,-1.437221163,4.997134179,0.767032265,5.718154064,5.721667851,NA,NA,NA,NA,480.8,469
Gujarat,4,2003,0.229560647,0,0,0,100.3137253,30,0.731250004,30,0.428933951,29,0.249445547,28,304.053026,304.9173158,302.264702,300.0278122,-6,-1.471588027,4.608302528,-0.312999875,5.717202114,5.720040644,NA,NA,NA,NA,675.3,651.4
Gujarat,4,2004,0.242147854,0,0,0,127.5461917,30,16.34454092,29,0.071519584,23,1.536603783,30,303.7454573,304.8352868,302.5945722,299.8591788,-5,-1.418206772,4.848478587,2.793893953,5.716190039,5.719771587,20337300,2674600,NA,76,679.4,665.6
Gujarat,4,2005,0.241473471,0,0,0,183.8354329,30,1.762575812,31,0.007287139,15,0.566838673,13,304.1834127,304.6734671,301.6719185,299.5226427,-4,-1.420995663,5.214040971,0.566776269,5.717630851,5.719240603,23377600,3532300,NA,NA,672.9,648.3
Gujarat,4,2006,0.253753974,0,0,0,79.11674679,30,2.954064279,31,0.189636729,41,1.023679967,28,304.030328,304.7966661,301.2604254,300.3762871,-3,-1.371390088,4.370924569,1.083181944,5.71712746,5.719644886,25339300,4207500,55555.5,NA,689.3,655.6
Gujarat,4,2007,0.244727241,0,0,0,124.2080516,30,1.489001909,31,2.078080988,23,5.662455852,25,304.2707423,304.8994819,302.3619773,300.1720976,-2,-1.407610991,4.821957995,0.398106036,5.717917905,5.719982155,28127300,5107700,NA,NA,758.6,726
Gujarat,4,2008,0.246546448,0,0,0,116.4832813,30,1.165974463,31,3.202622258,32,1.629721702,29,303.254196,304.0983426,301.5989229,300.4369198,-1,-1.400204873,4.757747755,0.153557186,5.714571384,5.717351144,30034100,5108800,NA,NA,747.3,722.1
Gujarat,4,2009,0.2387893,0,1,0,53.46655115,30,0.638090241,30,1.269631644,36,15.95518442,25,304.4580453,304.8700526,302.6850529,299.7765029,0,-1.432173706,3.979056246,-0.449275562,5.718533296,5.719885629,NA,NA,NA,NA,679.5,658.5
Gujarat,4,2010,0.244208766,0,1,0,43.03139915,30,0.660816942,31,0.219081843,34,52.52018038,38,305.0508067,306.3546374,303.2880422,300.4162824,1,-1.409731821,3.761930062,-0.414278418,5.720478342,5.724743377,NA,NA,NA,NA,NA,NA
Gujarat,4,2011,0.253700727,0,1,0,39.25818287,30,1.601044594,31,0.16475855,41,1.323872023,25,304.5317953,304.6751965,302.1174744,301.0809488,2,-1.371599947,3.670159903,0.470656287,5.7187755,5.71924628,NA,NA,NA,NA,NA,NA
Gujarat,4,2012,0.241059744,0,1,0,28.7548807,30,1.700188686,31,0.516335788,41,0.083162185,26,304.506237,304.5679132,301.6775307,299.8295317,3,-1.422710476,3.358807516,0.530739237,5.71869157,5.718894094,NA,NA,NA,NA,NA,NA
Gujarat,4,2013,0.26321382,0,1,0,140.4653018,30,0.981527907,30,2.331996035,27,3.322370595,27,303.4998837,305.2926239,301.3682524,299.0373712,4,-1.334788573,4.944960496,-0.018644833,5.715381227,5.721270739,NA,NA,NA,NA,NA,NA
