"","State","Year","NDVI","Tr_State","Post","DiD","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Time_To_Treatment","Log_NDVI","Log_Rainfall_June","Log_Rainfall_May","Log_Temp_June","Log_Temp_May","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"61","Gujarat",2002,0.237587058,0,0,0,147.988442357,30,2.153366141,30,2.276634957,39,1.003332533,31,304.342607,305.413883225806,302.21589195122,300.590152926829,-7,-1.43722116267414,4.99713417853233,0.767032264768852,5.71815406353269,5.72166785090587,NA,NA,NA,NA,"480.8","469"
"62","Gujarat",2003,0.229560647,0,0,0,100.313725298,30,0.731250004,30,0.428933951,29,0.249445547,28,304.053026,304.917315806452,302.264701951219,300.027812195122,-6,-1.47158802731068,4.60830252805846,-0.312999874965985,5.71720211382707,5.72004064413777,NA,NA,NA,NA,"675.3","651.4"
"63","Gujarat",2004,0.242147854,0,0,0,127.546191686,30,16.344540917,29,0.071519584,23,1.536603783,30,303.745457333333,304.835286774194,302.594572195122,299.859178780488,-5,-1.41820677244762,4.84847858672146,2.79389395272146,5.71619003926172,5.71977158736817,20337300,2674600,NA,76,"679.4","665.6"
"64","Gujarat",2005,0.241473471,0,0,0,183.835432918,30,1.762575812,31,0.007287139,15,0.566838673,13,304.183412666667,304.673467096774,301.671918536585,299.522642682927,-4,-1.42099566285524,5.21404097109169,0.566776268679925,5.71763085061551,5.7192406034235,23377600,3532300,NA,NA,"672.9","648.3"
"65","Gujarat",2006,0.253753974,0,0,0,79.116746793,30,2.954064279,31,0.189636729,41,1.023679967,28,304.030328,304.796666129032,301.260425365854,300.376287073171,-3,-1.37139008766503,4.37092456909045,1.0831819438589,5.7171274595881,5.7196448858558,25339300,4207500,55555.5,NA,"689.3","655.6"
"66","Gujarat",2007,0.244727241,0,0,0,124.208051584,30,1.489001909,31,2.078080988,23,5.662455852,25,304.270742333333,304.899481935484,302.361977317073,300.172097560976,-2,-1.40761099065929,4.8219579949666,0.398106035769553,5.71791790483825,5.71998215486349,28127300,5107700,NA,NA,"758.6","726"
"67","Gujarat",2008,0.246546448,0,0,0,116.483281344,30,1.165974463,31,3.202622258,32,1.629721702,29,303.254196,304.098342580645,301.598922926829,300.436919756098,-1,-1.40020487322981,4.7577477549307,0.15355718631625,5.71457138449678,5.71735114442396,30034100,5108800,NA,NA,"747.3","722.1"
"68","Gujarat",2009,0.2387893,0,1,0,53.466551145,30,0.638090241,30,1.269631644,36,15.955184418,25,304.458045333333,304.870052580645,302.685052926829,299.776502926829,0,-1.43217370583775,3.97905624613229,-0.449275562065879,5.71853329550058,5.71988562870665,NA,NA,NA,NA,"679.5","658.5"
"69","Gujarat",2010,0.244208766,0,1,0,43.031399145,30,0.660816942,31,0.219081843,34,52.520180382,38,305.050806666667,306.354637419355,303.288042195122,300.416282439024,1,-1.40973182114391,3.76193006189242,-0.414278418484178,5.7204783419696,5.724743376708,NA,NA,NA,NA,NA,NA
"70","Gujarat",2011,0.253700727,0,1,0,39.25818287,30,1.601044594,31,0.16475855,41,1.323872023,25,304.531795333333,304.675196451613,302.117474390244,301.080948780488,2,-1.37159994679173,3.67015990326365,0.470656287468016,5.71877549987062,5.71924627950008,NA,NA,NA,NA,NA,NA
"71","Gujarat",2012,0.241059744,0,1,0,28.7548807,30,1.700188686,31,0.516335788,41,0.083162185,26,304.506237,304.567913225806,301.677530731707,299.829531707317,3,-1.42271047579877,3.35880751631343,0.530739236667746,5.7186915696988,5.71889409422228,NA,NA,NA,NA,NA,NA
"72","Gujarat",2013,0.26321382,0,1,0,140.46530178,30,0.981527907,30,2.331996035,27,3.322370595,27,303.499883666667,305.292623870968,301.368252439024,299.037371219512,4,-1.33478857331067,4.94496049585363,-0.0186448326591337,5.7153812271936,5.72127073918355,NA,NA,NA,NA,NA,NA
"73","Gujarat",2014,0.237415422,0,1,0,14.603126415,30,2.38047898,31,1.098369501,29,5.92956441,32,305.355893,305.197143548387,301.391843658537,301.254042439024,5,-1.43794383682721,2.68123564380372,0.867301719535736,5.72147795864781,5.72095794008861,NA,NA,NA,NA,NA,NA
"74","Gujarat",2015,0.23888685,0,1,0,107.148565504,30,1.019959238,31,7.168724716,33,1.559810285,38,304.374320666667,306.064251612903,302.325035365854,301.135363658537,6,-1.43176527011679,4.67421633409315,0.0197626637525499,5.7182582619384,5.72379505250241,NA,NA,NA,NA,NA,NA
"75","Gujarat",2016,0.242229166,0,1,0,55.440819444,30,3.517430066,31,0.345341245,28,0.137236058,24,305.236570333333,305.945396129032,302.286336585366,299.214644878049,7,-1.41787103397363,4.01531613550834,1.25773062807458,5.72108711639098,5.72340664200658,NA,NA,NA,NA,NA,NA
"76","Haryana",2002,0.242850933,1,0,0,36.445160625,30,23.520311488,27,6.744081405,38,4.13391997,38,306.744965,307.127704516129,299.734333658537,295.886244634146,-7,-1.41530746832006,3.59580868215057,3.15786436648015,5.72601666943838,5.72726363671589,NA,NA,NA,NA,"905.66","905.66"
"77","Haryana",2003,0.244769736,1,0,0,51.208851441,29,13.88724978,28,13.017617986,38,2.851723195,33,307.382062,305.413791935484,299.304435121951,295.193837317073,-6,-1.40743736343745,3.93591239681052,2.63097113716166,5.7280914754656,5.72166755199891,NA,NA,NA,NA,"1015.19","1015.19"
"78","Haryana",2004,0.269674419,1,0,0,48.084241387,30,8.128779114,25,1.173340452,25,12.916471808,27,305.20217,306.031651935484,301.674222195122,294.485744146341,-5,-1.31053990316813,3.87295450154005,2.0954107418033,5.72097440947677,5.72368853430073,9579512,2097146,NA,109,"1024.24","1024.24"
"79","Haryana",2005,0.26467087,1,0,0,71.438779048,30,17.666346278,30,13.430523323,37,1.212182758,22,307.509194,305.199137096774,298.717042682927,295.411066097561,-4,-1.32926822491713,4.26884084582869,2.87166148951202,5.72850498598659,5.72096447206939,10460779,2175379,NA,NA,"1046.61","1046.61"
"80","Haryana",2006,0.267037322,1,0,0,63.191223558,30,21.101068453,31,30.526993079,41,13.041489954,40,305.495519,306.629503225806,298.209731219512,296.498544878049,-3,-1.32036684757905,4.14616542375663,3.04932367678292,5.7219351107463,5.72564018889822,11634434,2735729,23248,NA,"1042.06","1042.06"
"81","Haryana",2007,0.278205479,1,0,0,64.349882599,30,16.912284924,31,55.169480284,29,1.81653176,22,306.617780333333,306.044901290323,299.379103658537,296.124774390244,-2,-1.27939530522231,4.16433510962711,2.82804027643157,5.72560195671102,5.72373182743056,12617076,3219437,NA,NA,"1072.57","1072.57"
"82","Haryana",2008,0.34034481,1,0,0,210.03085005,30,48.557376602,31,32.344166439,40,8.155410064,30,303.277900666667,304.172852903226,298.818844146341,296.662957804878,-1,-1.07779602821282,5.34725442492799,3.88274612144511,5.71464954908793,5.71759613489369,13647794,4013723,NA,NA,"1211.17","1211.17"
"83","Haryana",2009,0.203002,1,1,1,20.470306653,27,19.926702447,30,24.757991291,37,4.540492217,28,307.523005,305.747060967742,298.477801219512,295.40284195122,0,-1.59453944777213,3.01897538016675,2.99206066378661,5.72854989745635,5.72275816198712,NA,NA,NA,NA,"1206.45","1206.45"
"84","Haryana",2010,0.241576313,1,1,1,50.394558049,30,19.814043911,31,2.849606073,35,15.929398681,34,306.455672,307.509581290323,302.498839512195,296.100471219512,1,-1.42056985994647,3.91988319402933,2.98639097470867,5.72507311848945,5.72850624542887,NA,NA,NA,NA,NA,NA
"85","Haryana",2011,0.279879757,1,1,1,83.203377139,30,25.350381547,31,17.417097115,41,0.331833878,30,305.023532333333,305.766808387097,297.843198292683,296.139612926829,2,-1.27339520733406,4.42128793761637,3.23279378108763,5.72038892882236,5.72282274733948,NA,NA,NA,NA,NA,NA
"86","Haryana",2012,0.202907532,1,1,1,5.880817606,29,3.324574237,31,14.776068944,41,7.324844085,34,308.469519333333,306.076236451613,297.82257,294.753035121951,3,-1.59500491110452,1.77169580088362,1.20134161688628,5.73162303565483,5.72383420965324,NA,NA,NA,NA,NA,NA
"87","Haryana",2013,0.248099544,1,1,1,61.407792909,30,3.782578579,24,29.051386572,37,14.097386591,28,305.766304666667,306.427260645161,298.099514634146,294.77756804878,4,-1.39392522625463,4.11753674744141,1.33040594082017,5.7228210999375,5.7249804046828,NA,NA,NA,NA,NA,NA
"88","Haryana",2014,0.246478427,1,1,1,20.949131298,25,16.189284777,31,53.366982712,40,9.107624377,28,307.807064666667,304.463096451613,296.904191219512,295.433548536585,5,-1.40048080657063,3.04209718001917,2.78434958987616,5.7294731732748,5.71854988588621,NA,NA,NA,NA,NA,NA
"89","Haryana",2015,0.241135072,1,1,1,68.27139921,30,13.043101775,30,84.238504128,37,17.257871813,40,305.471294,306.179209032258,297.40070902439,296.602845121951,6,-1.42239803776289,4.22349092645965,2.56825939439381,5.7218558102033,5.72417058095831,NA,NA,NA,NA,NA,NA
"90","Haryana",2016,0.297377551,1,1,1,57.997921705,30,29.605543397,28,29.712593201,32,0.061568294,26,306.817086333333,306.334125806452,299.569203902439,296.401799512195,7,-1.21275273200153,4.060407177232,3.38796162072156,5.72625176003275,5.72467642064762,NA,NA,NA,NA,NA,NA
"91","Himachal Pradesh",2002,0.348272752,0,0,0,72.37226717,30,32.94534898,31,48.395498715,41,23.058661332,41,285.795936666667,282.59624516129,276.172658780488,275.988835609756,-7,-1.05476933608012,4.28182317587111,3.49485009711587,5.65527804799325,5.64401918340098,NA,NA,NA,NA,"83.28","83.28"
"92","Himachal Pradesh",2003,0.339391333,0,0,0,67.589537859,30,77.688302301,31,127.174916904,41,31.037849108,41,285.558692333333,279.909870322581,275.382301707317,276.246945853658,-6,-1.08060146274849,4.21345320567211,4.3527046965032,5.65444758531762,5.63446765964593,NA,NA,NA,NA,"81.34","81.34"
"93","Himachal Pradesh",2004,0.35915603,0,0,0,78.08687045,30,29.911312175,31,40.713895674,41,34.112855461,41,284.968138,281.983030645161,278.062147073171,272.392806585366,-5,-1.02399836096006,4.35782193067738,3.39823674245857,5.65237737752773,5.64184689411037,2407658,474739,NA,30,"79.52","79.52"
"94","Himachal Pradesh",2005,0.312856643,0,0,0,72.92486716,30,74.36720919,31,137.331352305,41,10.159270171,41,284.836729666667,280.413035483871,274.99297097561,275.974915853659,-4,-1.16201020294508,4.28942969415459,4.30901510799253,5.65191613774857,5.6362636429667,2610733,514931,NA,NA,"79.37","79.37"
