"","State","Year","Period","AOD","Post","Tr_State","DiD","DDD","Period_Post","log_AOD","Tr_State_Period","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Rainfall_P","Temp_P","Time_To_Treatment","Log_Rainfall_P","Log_Temp_P","Log_AOD","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"493","Telangana",2008,1,0.339778098,0,0,0,0,0,-1.07946252738375,0,112.060529264,30,5.376420644,30,116.645640092,37,35.028425279,33,302.926178,306.659411612903,301.929059268293,298.652492926829,35.028425279,298.652492926829,-1,3.55615988270195,5.69928066646251,-1.07946252738375,14590178,3212082,NA,NA,"1691.49","1025.71"
"494","Telangana",2008,0,0.308668542,0,0,0,0,0,-1.17548725742857,0,112.060529264,30,5.376420644,30,116.645640092,37,35.028425279,33,302.926178,306.659411612903,301.929059268293,298.652492926829,116.645640092,301.929059268293,-1,4.75914062178951,5.7101920866957,-1.17548725742857,14590178,3212082,NA,NA,"1691.49","1025.71"
"495","Telangana",2009,1,0.287584191,1,0,0,0,1,-1.24623962335262,0,58.118864408,30,33.22910578,31,6.359214419,41,49.632020688,33,304.641676666667,306.615746129032,303.530938292683,299.331508780488,49.632020688,299.331508780488,0,3.90463620382189,5.70155168422739,-1.24623962335262,NA,NA,NA,NA,"1115.02","594.89"
"496","Telangana",2009,0,0.384546694,0,0,0,0,0,-0.95569005657753,0,58.118864408,30,33.22910578,31,6.359214419,41,49.632020688,33,304.641676666667,306.615746129032,303.530938292683,299.331508780488,6.359214419,303.530938292683,0,1.84990485069777,5.71548354366558,-0.95569005657753,NA,NA,NA,NA,"1115.02","594.89"
"497","Telangana",2010,1,0.325868964,1,0,0,0,1,-1.1212599293396,0,112.801931702,30,70.71680654,31,4.613011207,40,157.563585297,41,304.098463666667,307.105439677419,305.057954146342,298.782850243902,157.563585297,298.782850243902,1,5.05982909296567,5.69971705617608,-1.1212599293396,NA,NA,NA,NA,NA,NA
"498","Telangana",2010,0,0.439785595,1,0,0,0,0,-0.821467954922214,0,112.801931702,30,70.71680654,31,4.613011207,40,157.563585297,41,304.098463666667,307.105439677419,305.057954146342,298.782850243902,4.613011207,305.057954146342,1,1.52888083401128,5.72050177215168,-0.821467954922214,NA,NA,NA,NA,NA,NA
"499","Telangana",2011,0,0.351379037,1,0,0,0,0,-1.04588976067167,0,63.42532994,30,11.588063061,29,8.490814757,41,20.396940931,30,303.205085666667,306.508905483871,302.937907073171,299.193751219512,8.490814757,302.937907073171,2,2.13898496238542,5.71352785735768,-1.04588976067167,NA,NA,NA,NA,NA,NA
"500","Telangana",2011,1,0.415092266,1,0,0,0,1,-0.879254455751738,0,63.42532994,30,11.588063061,29,8.490814757,41,20.396940931,30,303.205085666667,306.508905483871,302.937907073171,299.193751219512,20.396940931,299.193751219512,2,3.01538493524315,5.7010913609207,-0.879254455751738,NA,NA,NA,NA,NA,NA
"501","Telangana",2012,1,0.36807987,1,0,0,0,1,-0.999455326319077,0,108.090879971,28,9.195126044,31,10.439776023,41,76.235156184,34,304.288694333333,307.616604193548,303.925094146341,297.860515121951,76.235156184,297.860515121951,3,4.33382272353955,5.69662530686585,-0.999455326319077,NA,NA,NA,NA,NA,NA
"502","Telangana",2012,0,0.392393851,1,0,0,0,0,-0.935489221648163,0,108.090879971,28,9.195126044,31,10.439776023,41,76.235156184,34,304.288694333333,307.616604193548,303.925094146341,297.860515121951,10.439776023,303.925094146341,3,2.34562312848873,5.71678127021015,-0.935489221648163,NA,NA,NA,NA,NA,NA
